,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
2,NULL,Lebanon,2016-08-16,NULL,2016-08-16,ICEWS24898456,"In the Second Lebanon War, a force from the Maglan Special Forces unit conquered a fortified Hezbollah dugout adjacent to the Shaked post; two IDF soldiers and five Hezbollah operatives were killed in the battle.",Use conventional military force,The IDF vs subterranean warfare,"(2016, 33, 3)",-10,33.8889,35.4944,8,NULL,The Jerusalem Post,3,Factiva,Israel,Israeli Defense Forces,"Military,Government",42066148,Lebanon,Hezbollah,"Social,(National) Minor Party,Parties,Dissident,Organized Violent,Ideological,International Religious,National Religious,Far Left,Shia",2016
3,NULL,Lebanon,2016-08-16,NULL,2016-08-16,ICEWS24898457,"In the Second Lebanon War, a force from the Maglan Special Forces unit conquered a fortified Hezbollah dugout adjacent to the Shaked post; two IDF soldiers and five Hezbollah operatives were killed in the battle.",Use conventional military force,The IDF vs subterranean warfare,"(2016, 33, 3)",-10,33.8889,35.4944,8,NULL,The Jerusalem Post,3,Factiva,Lebanon,Hezbollah,"Social,(National) Minor Party,Parties,Dissident,Organized Violent,Ideological,International Religious,National Religious,Far Left,Shia",42066148,Israel,Israeli Defense Forces,"Military,Government",2016
4,Latakia,Syria,2016-08-17,NULL,2016-08-17,ICEWS24898356,This marks the first time the Russian air force has attacked targets inside Syria from a third country since it deployed its forces in Syria in support of Bashar Assad's regime.,Mobilize or increase armed forces,A rising military star,"(2016, 33, 3)",-7.2,35.5317,35.7901,8,Muhafazat al Ladhiqiyah,The Jerusalem Post,3,Factiva,Russian Federation,Russian Air Force,"Government,Military,Air Force",42066144,Syria,Syria,NULL,2016
5,NULL,Egypt,2016-08-18,NULL,2016-08-18,ICEWS24902667,Netanyahu said he received a message from Egypt saying that officials there were not pleased with the Egyptian judoka who refused to shake Sasson's hand after their match in Rio.,Consult,Photo - BRONZE TEAM,"(2016, 33, 3)",1,30.0626,31.2497,8,NULL,The Jerusalem Post,3,Factiva,Israel,Benjamin Netanyahu,"International Ethnic,Executive,Parties,Ideological,(National) Major Party,Center Right,Jews,Elite,Foreign Ministry,Government,Executive Office",42075598,Egypt,Egypt,NULL,2016
6,NULL,Egypt,2016-08-18,NULL,2016-08-18,ICEWS24902668,Netanyahu said he received a message from Egypt saying that officials there were not pleased with the Egyptian judoka who refused to shake Sasson's hand after their match in Rio.,Consult,Photo - BRONZE TEAM,"(2016, 33, 3)",1,30.0626,31.2497,8,NULL,The Jerusalem Post,3,Factiva,Egypt,Egypt,NULL,42075598,Israel,Benjamin Netanyahu,"International Ethnic,Executive,Parties,Ideological,(National) Major Party,Center Right,Jews,Elite,Foreign Ministry,Government,Executive Office",2016
7,NULL,Syria,2016-08-18,NULL,2016-08-18,ICEWS24902568,"As former National Security Council head Yaakov Amidror said on Israel Radio Wednesday, beyond the technical matter of it being easier and more effective for Russia to attack Syria from Iran, there is also huge diplomatic symbolism in their choosing to do so.",Use conventional military force,Russian jets in Iran change Mideast game,"(2016, 33, 3)",-10,33.5102,36.2913,8,NULL,The Jerusalem Post,5,Factiva,Russian Federation,Russia,NULL,42075602,Syria,Syria,NULL,2016
8,Suez,Egypt,2016-08-19,NULL,2016-08-19,ICEWS24907077,"Eight of the 11 members had already declared support for the three-power resolution (the US, Britain and France) calling upon Egypt to lift the ban on ships going to and from Israel.",Appeal for easing of administrative sanctions,From our Archives,"(2016, 33, 3)",-0.3,29.9737,32.5263,8,As Suways,The Jerusalem Post,5,Factiva,United States,United States,NULL,42086331,Egypt,Egypt,NULL,2016
9,Suez,Egypt,2016-08-19,NULL,2016-08-19,ICEWS24907079,"Eight of the 11 members had already declared support for the three-power resolution (the US, Britain and France) calling upon Egypt to lift the ban on ships going to and from Israel.",Appeal for easing of administrative sanctions,From our Archives,"(2016, 33, 3)",-0.3,29.9737,32.5263,8,As Suways,The Jerusalem Post,5,Factiva,France,France,NULL,42086331,Egypt,Egypt,NULL,2016
10,NULL,Iraq,2016-08-21,NULL,2016-08-21,ICEWS24916741,The extremists called a local and powerful sheikh of the Jughayfa tribe and demanded he surrender.,Demand,"The Sunni tribe that survived a two-year Islamic State siege in Iraq. When ISIS demanded al-Jughayfa's surrender, the sheikh replied: 'We'll fight to the death'","(2016, 33, 3)",-5,34.6637,42.4655,8,Jughayfah,The Jerusalem Post,3,Factiva,Iraq,Extremist (Iraq),"Dissident,Radicals / Extremists / Fundamentalists",42107260,Iraq,Citizen (Iraq),"Social,General Population / Civilian / Social",2016
11,NULL,Iraq,2016-08-21,NULL,2016-08-21,ICEWS24916740,They offered him money.,Express intent to provide economic aid,"The Sunni tribe that survived a two-year Islamic State siege in Iraq. When ISIS demanded al-Jughayfa's surrender, the sheikh replied: 'We'll fight to the death'","(2016, 33, 3)",5.2,34.6637,42.4655,8,Jughayfah,The Jerusalem Post,4,Factiva,Iraq,Extremist (Iraq),"Dissident,Radicals / Extremists / Fundamentalists",42107260,Iraq,Citizen (Iraq),"Social,General Population / Civilian / Social",2016
