,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
11,Riyadh,Saudi Arabia,2017-04-13,NULL,2017-04-13,ICEWS27549362,"ROYAL RECEPTION President Duterte is welcomed by Prince Faisal bin Bandar al-Saud, governor of Riyadh, upon his arrival in Saudi Arabia in this Apr.",Host a visit,Duterte’s anti-crime campaign to draw Saudi investors to PH – Palace,"(2017, 15, 3)",2.8,24.6877,46.7219,4,Mintaqat ar Riyad,Philippine Daily Inquirer,1,Factiva,Saudi Arabia,Faisal bin Bandar,"Local,Government,Provincial",44169165,Philippines,Rodrigo Duterte,"Executive,Government,Executive Office",2017
12,Riyadh,Saudi Arabia,2017-04-13,NULL,2017-04-13,ICEWS27549363,"ROYAL RECEPTION President Duterte is welcomed by Prince Faisal bin Bandar al-Saud, governor of Riyadh, upon his arrival in Saudi Arabia in this Apr.",Praise or endorse,Duterte’s anti-crime campaign to draw Saudi investors to PH – Palace,"(2017, 15, 3)",3.4,24.6877,46.7219,4,Mintaqat ar Riyad,Philippine Daily Inquirer,1,Factiva,Saudi Arabia,Faisal bin Bandar,"Local,Government,Provincial",44169165,Philippines,Rodrigo Duterte,"Executive,Government,Executive Office",2017
13,Riyadh,Saudi Arabia,2017-04-13,NULL,2017-04-13,ICEWS27549364,"ROYAL RECEPTION President Duterte is welcomed by Prince Faisal bin Bandar al-Saud, governor of Riyadh, upon his arrival in Saudi Arabia in this Apr.",Make a visit,Duterte’s anti-crime campaign to draw Saudi investors to PH – Palace,"(2017, 15, 3)",1.9,24.6877,46.7219,4,Mintaqat ar Riyad,Philippine Daily Inquirer,1,Factiva,Philippines,Rodrigo Duterte,"Executive,Government,Executive Office",44169165,Saudi Arabia,Faisal bin Bandar,"Local,Government,Provincial",2017
14,NULL,Bahrain,2017-04-14,NULL,2017-04-14,ICEWS27549146,That why Bello said he told the Bahrain labor official that the Philippine government would make sure this process would be reduced from six weeks to one week.,Make statement,"Bahrain prefers Filipino workers, seeks faster deployment by PH","(2017, 15, 3)",0,26.2154,50.5832,4,NULL,Philippine Daily Inquirer,6,Factiva,Bahrain,Labor and Employment Ministry (Bahrain),"Labor Ministry,Government,Executive",44169141,Philippines,Government (Philippines),Government,2017
15,Manama,Bahrain,2017-04-14,NULL,2017-04-14,ICEWS27549416,A red carpet welcome ceremony at the royal Palace was given to President Duterte who finally met with King Hamad on day two of his state visit here.,Consult,"Duterte, Bahraini king oversee signing of 4 deals","(2017, 15, 3)",1,26.2154,50.5832,4,Capital Governorate,Philippine Daily Inquirer,4,Factiva,Bahrain,Sheikh Hamad bin Isa al Khalifah,"Government,Elite",44169143,Philippines,Rodrigo Duterte,"Executive,Government,Executive Office",2017
16,Manama,Bahrain,2017-04-14,NULL,2017-04-14,ICEWS27549414,"After the brief welcome ceremony, the King welcomed Mr. Duterte inside the sprawling Palace where each sideâ€™s delegation were there waiting.",Host a visit,"Duterte, Bahraini king oversee signing of 4 deals","(2017, 15, 3)",2.8,26.2154,50.5832,4,Capital Governorate,Philippine Daily Inquirer,5,Factiva,Bahrain,Sheikh Hamad bin Isa al Khalifah,"Government,Elite",44169143,Philippines,Rodrigo Duterte,"Executive,Government,Executive Office",2017
17,Manama,Bahrain,2017-04-14,NULL,2017-04-14,ICEWS27549415,"After the brief welcome ceremony, the King welcomed Mr. Duterte inside the sprawling Palace where each sideâ€™s delegation were there waiting.",Praise or endorse,"Duterte, Bahraini king oversee signing of 4 deals","(2017, 15, 3)",3.4,26.2154,50.5832,4,Capital Governorate,Philippine Daily Inquirer,5,Factiva,Bahrain,Sheikh Hamad bin Isa al Khalifah,"Government,Elite",44169143,Philippines,Rodrigo Duterte,"Executive,Government,Executive Office",2017
18,Manama,Bahrain,2017-04-14,NULL,2017-04-14,ICEWS27549417,"After the brief welcome ceremony, the King welcomed Mr. Duterte inside the sprawling Palace where each sideâ€™s delegation were there waiting.",Make a visit,"Duterte, Bahraini king oversee signing of 4 deals","(2017, 15, 3)",1.9,26.2154,50.5832,4,Capital Governorate,Philippine Daily Inquirer,5,Factiva,Philippines,Rodrigo Duterte,"Executive,Government,Executive Office",44169143,Bahrain,Sheikh Hamad bin Isa al Khalifah,"Government,Elite",2017
19,Doha,Qatar,2017-04-14,NULL,2017-04-14,ICEWS27549098,"Doha, Qatar skyline (File photo from Philippine Daily Inquirer) DOHA, Qatar -- A Filipino convicted of espionage in Qatar had been spared from the gallows when the death sentence meted to him was commuted to life imprisonment, Philippine Ambassador to Qatar Alan Timbayan said Friday.","Arrest, detain, or charge with legal action",Filipino convicted of spying in Qatar spared from gallows,"(2017, 15, 3)",-5,25.2793,51.5224,4,Baladiyat ad Dawhah,Philippine Daily Inquirer,1,Factiva,Qatar,Qatar,NULL,44169145,Philippines,Citizen (Philippines),"General Population / Civilian / Social,Social",2017
20,Doha,Qatar,2017-04-17,NULL,2017-04-17,ICEWS27549376,"The deals were signed between Filipino and Middle East businessmen, presidential spokesperson Ernesto Abella told reporters in the Qatari capital, Doha, on Sunday.",Sign formal agreement,"Duterte Mideast visits yield $925M in deals, agreements","(2017, 16, 3)",8,25.2793,51.5224,4,Baladiyat ad Dawhah,Philippine Daily Inquirer,4,Factiva,Philippines,Philippines,NULL,44169109,NULL,Businessperson (Middle East),"Business,Social",2017
21,Doha,Qatar,2017-04-17,NULL,2017-04-17,ICEWS27549377,"The deals were signed between Filipino and Middle East businessmen, presidential spokesperson Ernesto Abella told reporters in the Qatari capital, Doha, on Sunday.",Sign formal agreement,"Duterte Mideast visits yield $925M in deals, agreements","(2017, 16, 3)",8,25.2793,51.5224,4,Baladiyat ad Dawhah,Philippine Daily Inquirer,4,Factiva,NULL,Businessperson (Middle East),"Business,Social",44169109,Philippines,Philippines,NULL,2017
22,NULL,Saudi Arabia,2017-04-17,NULL,2017-04-17,ICEWS27549361,President Rodrigo Duterte hands P5000 cash assistance from OWWA to the repatriated OFWs from Saudi Arabia.,Provide aid,"Duterte back in PH, says ME visit his ‘most productive trip ever’","(2017, 16, 3)",7,24.6877,46.7219,4,NULL,Philippine Daily Inquirer,1,Factiva,Philippines,Rodrigo Duterte,"Executive,Government,Executive Office",44169112,Saudi Arabia,Citizen (Saudi Arabia),"General Population / Civilian / Social,Social",2017
23,Riyadh,Saudi Arabia,2017-04-17,NULL,2017-04-17,ICEWS27549314,"President Rodrigo Duterte meets with Kingdom of Saudi Arabia Minister of Culture and Media Adel Al-Toraifi in a courtesy call on the President at the King Saud Guest Palace in Riyadh on April 11, 2017.",Consult,"Duterte felt no discrimination in Middle East, but…","(2017, 16, 3)",1,24.6877,46.7219,4,Mintaqat ar Riyad,Philippine Daily Inquirer,1,Factiva,Philippines,Rodrigo Duterte,"Executive,Government,Executive Office",44169115,Saudi Arabia,Royal Administration (Saudi Arabia),Government,2017
24,Riyadh,Saudi Arabia,2017-04-17,NULL,2017-04-17,ICEWS27549315,"President Rodrigo Duterte meets with Kingdom of Saudi Arabia Minister of Culture and Media Adel Al-Toraifi in a courtesy call on the President at the King Saud Guest Palace in Riyadh on April 11, 2017.",Consult,"Duterte felt no discrimination in Middle East, but…","(2017, 16, 3)",1,24.6877,46.7219,4,Mintaqat ar Riyad,Philippine Daily Inquirer,1,Factiva,Saudi Arabia,Royal Administration (Saudi Arabia),Government,44169115,Philippines,Rodrigo Duterte,"Executive,Government,Executive Office",2017
25,Saint Catherine,Egypt,2017-04-20,NULL,2017-04-20,ICEWS27558762,The Islamic State (ISIS) terror group has claimed responsibility for an attack on an Egyptian police checkpoint near the famed Saint Catherine's Monastery in Sinai late Tuesday which killed one policeman and wounded four others.,Acknowledge or claim responsibility,"ISIS Claims Attack on Mt, Sinai Monastery; Israel Remains Alert.","(2017, 16, 3)",0,28.5619,33.9493,4,Muhafazat Janub Sina',Israel Faxx,2,Factiva,Iraq,Islamic State of Iraq and the Levant,"International Religious,Fundamentalist,Sunni,Muslim,Ideological,Insurgents,Dissident",44191195,Egypt,Egypt,NULL,2017
26,Saint Catherine,Egypt,2017-04-20,NULL,2017-04-20,ICEWS27558763,The Islamic State (ISIS) terror group has claimed responsibility for an attack on an Egyptian police checkpoint near the famed Saint Catherine's Monastery in Sinai late Tuesday which killed one policeman and wounded four others.,Use conventional military force,"ISIS Claims Attack on Mt, Sinai Monastery; Israel Remains Alert.","(2017, 16, 3)",-10,28.5619,33.9493,4,Muhafazat Janub Sina',Israel Faxx,2,Factiva,Iraq,Islamic State of Iraq and the Levant,"International Religious,Fundamentalist,Sunni,Muslim,Ideological,Insurgents,Dissident",44191195,Egypt,Egypt,NULL,2017
27,NULL,Syria,2017-04-21,NULL,2017-04-21,ICEWS27558779,"Senior Israeli military officials also told reporters at a briefing that Syrian President Bashar Assad still has up to three tons of chemical weapons, despite agreeing to eliminate his country's stocks of chemical weapons in 2013, The Associated Press reported.",Make statement,US Gave Israel Two Hours Warning Before Syria Strike.,"(2017, 16, 3)",0,35.7667,36.6667,4,Idlib,Israel Faxx,3,Factiva,Israel,Military Personnel (Israel),"Government,Military",44191191,Syria,Bashar al-Assad,"National Ethnic Minority,Social,Parties,(National) Major Party,Religious Minority,National Religious,Far Right,Shia,Executive,National Ethnic,Executive Office,International Religious,Ideological,Government",2017
28,NULL,Syria,2017-04-21,NULL,2017-04-21,ICEWS27558780,"Assad has denied responsibility for the April 4 attack on Idlib, an area in southern Syria held by rebels in the country's six-year civil war.",Deny responsibility,US Gave Israel Two Hours Warning Before Syria Strike.,"(2017, 16, 3)",-5,35.7667,36.6667,4,Idlib,Israel Faxx,4,Factiva,Syria,Bashar al-Assad,"National Ethnic Minority,Social,Parties,(National) Major Party,Religious Minority,National Religious,Far Right,Shia,Executive,National Ethnic,Executive Office,International Religious,Ideological,Government",44191191,Syria,Syria,NULL,2017
41,NULL,Lebanon,2017-04-27,NULL,2017-04-27,ICEWS27553788,"In the midst of these warlike rumblings, Lebanese Prime Minister Saad Hariri urged the UN to help negotiate a permanent cease-fire between Hezbollah and Israel.",Make an appeal or request,Lebanese moves,"(2017, 17, 3)",3,33.8889,35.4944,4,NULL,The Jerusalem Post,4,Factiva,Lebanon,Saad Hariri,"Center Right,Ideological,(National) Minor Party,Elite,Government,Executive Office,Parties,Executive,Sunni,International Religious",44179868,NULL,United Nations,"Global Diplomatic IGOs,International Government Organization,Global",2017
43,NULL,Syria,2017-04-28,NULL,2017-04-28,ICEWS27553814,"Fahad al-Masri, Paris-based head of the National Salvation Front in Syria, also called for stepped-up Israeli involvement in Syria in order to 'crush' the presence of Hezbollah and other militias.",Make an appeal or request,Syrian opposition leader praises attacks on Hezbollah supply line,"(2017, 17, 3)",3,33.5102,36.2913,4,NULL,The Jerusalem Post,2,Factiva,Syria,National Salvation Front,"Dissident,Banned Parties",44179849,Israel,Israel,NULL,2017
44,NULL,Saudi Arabia,2017-04-28,NULL,2017-04-28,ICEWS27558789,"Shamri's legal defense entered an insanity plea, also claiming that drugs and alcohol impaired his judgment but last week a Supreme Court rejected his second appeal.",Reject,Saudi Man Condemned to Death for Blaspheming Islam's Founder.,"(2017, 17, 3)",-4,24.6877,46.7219,4,NULL,Israel Faxx,6,Factiva,Saudi Arabia,Member of the Judiciary (Saudi Arabia),"Government,Judicial",44191178,Saudi Arabia,Men (Saudi Arabia),"Social,General Population / Civilian / Social",2017
71,Cairo,Egypt,2017-05-01,NULL,2017-05-01,ICEWS27538307,CAIRO (Reuters) - U.N. High Commissioner for Human Rights Zeid Ra'ad al-Hussein said on Monday that heavy-handed security measures by Egypt were fostering the very radicalization it was looking to curb.,Make statement,U.N. rights boss says Egypt crackdown 'facilitates radicalization',"(2017, 18, 3)",0,30.0626,31.2497,5,Muhafazat al Qahirah,Reuters News,1,Factiva,NULL,Office of the United Nations High Commissioner for Human Rights,"Global Diplomatic IGOs,Global Human Rights IGOs,International Government Organization,Global",44144378,Egypt,Egypt,NULL,2017
72,Mosul,Iraq,2017-05-01,NULL,2017-05-01,ICEWS27538286,"Most of the civilian casualties occurred in Iraq's northern province of Nineveh, where 153 were killed and 123 others injured in fierce battles between Iraqi forces and Islamic State (IS) militants in western Mosul.",Use conventional military force,309 civilians killed in Iraq violence in April: UN,"(2017, 18, 3)",-10,36.335,43.1189,5,Muhafazat Ninawa,Xinhua News Agency,5,Factiva,Iraq,Military (Iraq),"Military,Government",44144447,Iraq,Militant (Iraq),Unidentified Forces,2017
73,Mosul,Iraq,2017-05-01,NULL,2017-05-01,ICEWS27538287,"Most of the civilian casualties occurred in Iraq's northern province of Nineveh, where 153 were killed and 123 others injured in fierce battles between Iraqi forces and Islamic State (IS) militants in western Mosul.",Use unconventional violence,309 civilians killed in Iraq violence in April: UN,"(2017, 18, 3)",-9,36.335,43.1189,5,Muhafazat Ninawa,Xinhua News Agency,5,Factiva,Iraq,Militant (Iraq),Unidentified Forces,44144447,Iraq,Military (Iraq),"Military,Government",2017
93,Cairo,Egypt,2017-05-01,NULL,2017-05-01,ICEWS27538532,"CAIRO, May 1 (Reuters) - U.N. High Commissioner for Human Rights Zeid Ra'ad al-Hussein said on Monday that heavy-handed security measures by Egypt were fostering the very radicalisation it was looking to curb.",Make statement,REFILE-UN rights boss says Egypt crackdown 'facilitates radicalisation',"(2017, 18, 3)",0,30.0626,31.2497,5,Muhafazat al Qahirah,Reuters News,2,Factiva,NULL,Office of the United Nations High Commissioner for Human Rights,"Global,International Government Organization,Global Human Rights IGOs,Global Diplomatic IGOs",44144708,Egypt,Egypt,NULL,2017
94,Riyadh,Saudi Arabia,2017-05-01,NULL,2017-05-01,ICEWS27538425,"Berlin sold Riyadh over 500,000 million worth of weapons in 2016 and earlier this month, approved millions of dollars worth of arms sales to the United Arab Emirates which is assisting Saudi Arabia in its onslaught against Yemen.",Provide aid,Germany Wants End to Saudi Aggression on Yemen While Agreeing to Train Saudi Soldiers,"(2017, 18, 3)",7,24.6877,46.7219,5,Mintaqat ar Riyad,FARS News Agency,6,Factiva,United Arab Emirates,United Arab Emirates,NULL,44144720,Saudi Arabia,Saudi Arabia,NULL,2017
95,NULL,Saudi Arabia,2017-05-01,NULL,2017-05-01,ICEWS27538410,"On Sunday, Merkel visited Saudi Arabia for the first time in seven years.",Make a visit,Berlin Offers Expertise in Solving Yemeni Conflict - Merkel,"(2017, 18, 3)",1.9,24.6877,46.7219,5,NULL,Unknown,3,Factiva,Germany,Angela Merkel,"Elite,Protestant,Christian,International Religious,Executive Office,Executive,Ideological,Center Right,Government,(National) Major Party,Parties",44144837,Saudi Arabia,Saudi Arabia,NULL,2017
96,NULL,Saudi Arabia,2017-05-01,NULL,2017-05-01,ICEWS27538411,"On Sunday, Merkel visited Saudi Arabia for the first time in seven years.",Host a visit,Berlin Offers Expertise in Solving Yemeni Conflict - Merkel,"(2017, 18, 3)",2.8,24.6877,46.7219,5,NULL,Unknown,3,Factiva,Saudi Arabia,Saudi Arabia,NULL,44144837,Germany,Angela Merkel,"Elite,Protestant,Christian,International Religious,Executive Office,Executive,Ideological,Center Right,Government,(National) Major Party,Parties",2017
97,Ath Thawrah,Syria,2017-05-01,NULL,2017-05-01,ICEWS27538558,"BEIRUT (AP) — U.S.-backed opposition fighters led by Syrian Kurdish forces captured more territory from the Islamic State group in the northern town of Tabqa on Monday, pushing the extremists to northern neighborhoods, close to one of Syria's largest dams.",Occupy territory,US-backed fighters retake more areas from IS in Syrian town,"(2017, 18, 3)",-9.5,35.8345,38.5466,5,Ar Raqqah,Associated Press Newswires,1,Factiva,Syria,Combatant (Syria),Unidentified Forces,44144903,Iraq,Islamic State of Iraq and the Levant,"International Religious,Fundamentalist,Sunni,Dissident,Ideological,Insurgents,Muslim",2017
98,Ath Thawrah,Syria,2017-05-01,NULL,2017-05-01,ICEWS27538557,The Britain-based Syrian Observatory for Human Rights said IS fighters withdrew from the Tabqa neighborhood known as Thawra City and are now gathered in two quarters near the dam.,Retreat or surrender militarily,US-backed fighters retake more areas from IS in Syrian town,"(2017, 18, 3)",10,35.8345,38.5466,5,Ar Raqqah,Associated Press Newswires,6,Factiva,Syria,Combatant (Syria),Unidentified Forces,44144903,Syria,Syria,NULL,2017
99,Husayn al Bahr,Syria,2017-05-01,NULL,2017-05-01,ICEWS27538501,The panel approved by the UN General Assembly in December has been denounced by Syrian President Bashar al-Assad's government as unacceptable interference in the country's affairs.,Criticize or denounce,New Syria war crimes panel to launch soon: UN,"(2017, 18, 3)",-2,34.9819,35.9056,5,Muhafazat Tartus,Agence France-Presse,4,Factiva,Syria,Bashar al-Assad,"Shia,Far Right,Social,Religious Minority,Government,National Religious,National Ethnic Minority,(National) Major Party,Parties,International Religious,Ideological,National Ethnic,Executive Office,Executive",44144909,Syria,Citizen (Syria),"General Population / Civilian / Social,Social",2017
105,NULL,Iraq,2017-05-01,NULL,2017-05-01,ICEWS27538655,"MOSCOW, May 1 (Sputnik) - Turkey's strikes on militants from the Kurdistan Workers’ Party (PKK) located in Sinjar Mountains in Iraqi Kurdistan resulted in numerous losses and financial damage and can lead to clashes between the militants, Kasim Seso, commander of Peshmerga, military forces of Iraqi Kurdistan, said Monday.",Use conventional military force,PKK Militants in Iraqi Kurdistan Suffer Losses After Turkish Airstrikes - Kurds' Commander,"(2017, 18, 3)",-10,36.2267,44.7611,5,Kurdistan,Unknown,1,Factiva,Turkey,Turkey,NULL,44145099,Turkey,Militant (Kurdistan Workers' Party),"International Ethnic,Kurd (Ethnic Group),Separatists,Dissident",2017
