,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
12,NULL,Syria,2016-04-27,NULL,2016-04-27,ICEWS24479483,The UN Security Council rejected on Tuesday last week's statement by Prime Minister Benjamin Netanyahu that the Golan Heights would always remain under Israeli sovereignty.,Deny responsibility,UN rejects Israeli jurisdiction on Golan as 'null and void',"(2016, 17, 3)",-5,32.9049,35.8073,4,Golan Heights,The Jerusalem Post,1,Factiva,NULL,United Nations,"Global Diplomatic IGOs,International Government Organization,Global",41045346,Israel,Benjamin Netanyahu,"Elite,Foreign Ministry,International Ethnic,Jews,Center Right,Ideological,(National) Major Party,Parties,Executive,Executive Office,Government",2016
13,NULL,Syria,2016-04-27,NULL,2016-04-27,ICEWS24479484,The UN Security Council rejected on Tuesday last week's statement by Prime Minister Benjamin Netanyahu that the Golan Heights would always remain under Israeli sovereignty.,Reject,UN rejects Israeli jurisdiction on Golan as 'null and void',"(2016, 17, 3)",-4,32.9049,35.8073,4,Golan Heights,The Jerusalem Post,1,Factiva,NULL,United Nations,"Global Diplomatic IGOs,International Government Organization,Global",41045346,Israel,Benjamin Netanyahu,"Elite,Foreign Ministry,International Ethnic,Jews,Center Right,Ideological,(National) Major Party,Parties,Executive,Executive Office,Government",2016
14,NULL,Syria,2016-04-27,NULL,2016-04-27,ICEWS24479485,Israel captured the Golan Heights from Syria during the 1967 Six Day War.,Occupy territory,UN rejects Israeli jurisdiction on Golan as 'null and void',"(2016, 17, 3)",-9.5,32.9049,35.8073,4,Golan Heights,The Jerusalem Post,2,Factiva,Israel,Israel,NULL,41045346,Syria,Syria,NULL,2016
15,Riyadh,Saudi Arabia,2016-04-27,NULL,2016-04-27,ICEWS24479341,Comments by a well-connected former major-general in the Saudi military who said Tuesday that Riyadh would establish an embassy in Israel if it accepted the 2002 Arab Peace Initiative failed to elicit an official response from Jerusalem.,Express intent to engage in diplomatic cooperation (such as policy support),"Ex-Saudi general: Accept Arab peace plan, embassy will open in Tel Aviv. Jerusalem mum on comments","(2016, 17, 3)",4.5,24.6877,46.7219,4,Mintaqat ar Riyad,The Jerusalem Post,1,Factiva,Saudi Arabia,Saudi Arabia,NULL,41045426,Israel,Israel,NULL,2016
16,Riyadh,Saudi Arabia,2016-04-27,NULL,2016-04-27,ICEWS24479342,"Anwar Eshki, who met publicly in June with Dore Gold just before the latter was appointed director-general of the Foreign Ministry, was asked during an Al Jazeera interview how long it would be before Saudi Arabia would open an embassy in Israel",Express intent to engage in diplomatic cooperation (such as policy support),"Ex-Saudi general: Accept Arab peace plan, embassy will open in Tel Aviv. Jerusalem mum on comments","(2016, 17, 3)",4.5,24.6877,46.7219,4,Mintaqat ar Riyad,The Jerusalem Post,2,Factiva,Saudi Arabia,Saudi Arabia,NULL,41045426,Israel,Israel,NULL,2016
30,Riyadh,Saudi Arabia,2016-05-01,NULL,2016-05-01,ICEWS24477650,"The aggression and its mercenaries are continue to breach ceasefire daily without stopping, killing or injuring people in those violations.",Use unconventional violence,"Riyadh hirelings breaches reach 4,000 in 19 days","(2016, 17, 3)",-9,24.6877,46.7219,5,Mintaqat ar Riyad,Yemen News Agency (SABA),3,Factiva,Yemen,Armed Gang (Yemen),Unidentified Forces,41041737,Yemen,Citizen (Yemen),"General Population / Civilian / Social,Social",2016
31,NULL,Jordan,2016-05-01,NULL,2016-05-01,ICEWS24477779,"MOSCOW, May 2 (Sputnik) - Jordanian Foreign Minister Nasser Judeh said he and US State Secretary John Kerry would discuss the lack of negotiating track in the Palestinian-Israeli settlement.",Express intent to meet or negotiate,"Top Jordanian, US Diplomats to Discuss Lack of Talks for Israeli-Palestinian Resolution","(2016, 17, 3)",4,31.9552,35.945,5,NULL,Unknown,1,Factiva,Jordan,Nasser Judeh,"Foreign Ministry,Government,Elite,Executive,Cabinet",41041867,United States,John Kerry,"Foreign Ministry,Upper House,Ideological,Government,Center Left,Executive,Cabinet,Legislative / Parliamentary,(National) Major Party,Parties",2016
32,NULL,Jordan,2016-05-01,NULL,2016-05-01,ICEWS24477780,"MOSCOW, May 2 (Sputnik) - Jordanian Foreign Minister Nasser Judeh said he and US State Secretary John Kerry would discuss the lack of negotiating track in the Palestinian-Israeli settlement.",Express intent to meet or negotiate,"Top Jordanian, US Diplomats to Discuss Lack of Talks for Israeli-Palestinian Resolution","(2016, 17, 3)",4,31.9552,35.945,5,NULL,Unknown,1,Factiva,United States,John Kerry,"Foreign Ministry,Upper House,Ideological,Government,Center Left,Executive,Cabinet,Legislative / Parliamentary,(National) Major Party,Parties",41041867,Jordan,Nasser Judeh,"Foreign Ministry,Government,Elite,Executive,Cabinet",2016
33,NULL,Iraq,2016-05-01,NULL,2016-05-01,ICEWS24477900,* Protesters say to hold big demonstration on Friday,Demonstrate or rally,UPDATE 1-Iraqi protesters end Green Zone sit-in for now after issuing demands,"(2016, 17, 3)",-6.5,33.3406,44.4009,5,NULL,Reuters News,1,Factiva,Iraq,Protester (Iraq),"Protestors / Popular Opposition / Mobs,Dissident",41041883,NULL,Unspecified Actor,Unspecified,2016
34,Cairo,Egypt,2016-05-01,NULL,2016-05-01,ICEWS24477809,"CAIRO: Egyptian police on Sunday raided the press syndicate in Cairo and arrested two journalists critical of the government, a syndicate official and reporters said in what an opposition party called an unprecedented crackdown.",Use tactics of violent repression,"Egyptian police raid press syndicate, arrest two journalists","(2016, 17, 3)",-9,30.0626,31.2497,5,Muhafazat al Qahirah,Channel NewsAsia,1,Factiva,Egypt,Police (Egypt),"Government,Police",41041903,Egypt,Media Personnel (Egypt),"Media,Social",2016
35,Cairo,Egypt,2016-05-01,NULL,2016-05-01,ICEWS24477924,"CAIRO, May 1 (Reuters) - Egyptian police on Sunday raided the press syndicate in Cairo and arrested two journalists critical of the government, a syndicate official and reporters said in what an opposition party called an unprecedented crackdown.",Use tactics of violent repression,"Egyptian police raid press syndicate, arrest two journalists","(2016, 17, 3)",-9,30.0626,31.2497,5,Muhafazat al Qahirah,Reuters News,1,Factiva,Egypt,Police (Egypt),"Police,Government",41042481,Egypt,Media Personnel (Egypt),"Media,Social",2016
47,Cairo,Egypt,2016-05-02,NULL,2016-05-02,ICEWS24477665,"CAIRO (Reuters) - Egyptian police on Sunday raided the press syndicate in Cairo and arrested two journalists critical of the government, a syndicate official and reporters said in what the syndicate called an unprecedented crackdown.",Use tactics of violent repression,"Egyptian police raid press syndicate, arrest two journalists","(2016, 18, 3)",-9,30.0626,31.2497,5,Muhafazat al Qahirah,Reuters News,1,Factiva,Egypt,Police (Egypt),"Government,Police",41041521,Egypt,Media Personnel (Egypt),"Media,Social",2016
50,Riyadh,Saudi Arabia,2016-05-02,NULL,2016-05-02,ICEWS24478044,"The talks took place within the framework of the Turkmen president’s visit to Saudi Arabia May 1-3, according to the message.",Express intent to meet or negotiate,"Turkmenistan, Saudi Arabia sign package of intergovernmental documents","(2016, 18, 3)",4,24.6877,46.7219,5,Mintaqat ar Riyad,Trend News Agency (Azerbaijan),4,Factiva,Turkmenistan,Head of Government (Turkmenistan),"Government,Executive Office,Executive",41042316,Saudi Arabia,Saudi Arabia,NULL,2016
51,Riyadh,Saudi Arabia,2016-05-02,NULL,2016-05-02,ICEWS24478084,"On Monday Kerry will meet his Saudi counterpart Adel al-Jubeir, another major ally in the Middle East.",Express intent to meet or negotiate,Kerry arrives in Geneva to meet with UN mediator and allies,"(2016, 18, 3)",4,24.6877,46.7219,5,Mintaqat ar Riyad,EFE News Service,4,Factiva,United States,John Kerry,"Executive,Upper House,Government,Foreign Ministry,Parties,(National) Major Party,Cabinet,Ideological,Legislative / Parliamentary,Center Left",41042461,Saudi Arabia,Adel al-Jubeir,"Government,Foreign Ministry,Executive",2016
52,Cairo,Egypt,2016-05-02,NULL,2016-05-02,ICEWS24478166,"Egypt's journalists' syndicate, a professional association recognized by the state, called for the firing of Interior Minister Magdy Abdel Ghaffar Sunday after alleging police had stormed its building and seized the two men.",Use conventional military force,Egyptian Journalists' Arrest Prompts More Calls for Police Reform,"(2016, 18, 3)",-10,30.0626,31.2497,5,Muhafazat al Qahirah,Dow Jones News Service,2,Factiva,Egypt,Police (Egypt),"Police,Government",41042539,Egypt,Egypt,NULL,2016
53,Cairo,Egypt,2016-05-02,NULL,2016-05-02,ICEWS24478144,"Amru Mansour, editor in chief of the news site Bawabet Yanayer, and his student intern Mahmoud el Saqqa, had been staging a peaceful days-long sit-in to protest brutal police practices, including a months-long crackdown on activists and the country's political opposition.",Demonstrate or rally,Egyptian Journalists' Arrest Prompts More Calls for Police Reform,"(2016, 18, 3)",-6.5,30.0626,31.2497,5,Muhafazat al Qahirah,Dow Jones News Service,3,Factiva,Egypt,Citizen (Egypt),"General Population / Civilian / Social,Social",41042539,NULL,Unspecified Actor,Unspecified,2016
54,Cairo,Egypt,2016-05-02,NULL,2016-05-02,ICEWS24478167,"Though dozens of journalists are reported to have been arrested during the years-long crackdown ordered by President Abdel Fattah Al Sisi, this would be the first time police have raided the union in its 75-year history.",Use conventional military force,Egyptian Journalists' Arrest Prompts More Calls for Police Reform,"(2016, 18, 3)",-10,30.0626,31.2497,5,Muhafazat al Qahirah,Dow Jones News Service,5,Factiva,Egypt,Police (Egypt),"Police,Government",41042539,Egypt,Labor Union (Egypt),"Labor,Social",2016
