,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
14,NULL,Syria,2016-06-27,NULL,2016-06-27,ICEWS24680109,"Intra-Syrian talks must not be interrupted, head of delegation of Syria’s Tomorrow opposition group Ahmad al-Jarba said after the meeting with Russian Foreign Minister Sergey Lavrov on Monday.",Consult,Opposition leader says intra-Syrian talks must not take pause,"(2016, 26, 3)",1,33.5102,36.2913,6,NULL,Unknown,1,Factiva,Syria,Ahmad Jarba,"Protestors / Popular Opposition / Mobs,Dissident",41538667,Russian Federation,Sergey Viktorovich Lavrov,"Cabinet,Executive,Government,(National) Major Party,Parties,Foreign Ministry,Ideological,Center Right",2016
20,Cairo,Egypt,2016-06-27,NULL,2016-06-27,ICEWS24680370,"CAIRO, June 27 (Reuters) - Egypt's central bank has begun negotiations with the International Monetary Fund over a $5 billion loan, a minister from Egypt's economic group of ministers told Reuters on Monday.",Engage in negotiation,"UPDATE 1-Egypt begins talks with IMF over $5 bln loan, minister says","(2016, 26, 3)",7,30.0626,31.2497,6,Muhafazat al Qahirah,Reuters News,3,Factiva,NULL,International Monetary Fund,"Global,International Government Organization,Global Economic/Financial/Trade IGOs",41539177,Egypt,Government Affiliated Bank (Egypt),"Executive,Finance / Economy / Commerce / Trade Ministry,Government",2016
21,Cairo,Egypt,2016-06-27,NULL,2016-06-27,ICEWS24680371,"CAIRO, June 27 (Reuters) - Egypt's central bank has begun negotiations with the International Monetary Fund over a $5 billion loan, a minister from Egypt's economic group of ministers told Reuters on Monday.",Engage in negotiation,"UPDATE 1-Egypt begins talks with IMF over $5 bln loan, minister says","(2016, 26, 3)",7,30.0626,31.2497,6,Muhafazat al Qahirah,Reuters News,3,Factiva,Egypt,Government Affiliated Bank (Egypt),"Executive,Finance / Economy / Commerce / Trade Ministry,Government",41539177,NULL,International Monetary Fund,"Global,International Government Organization,Global Economic/Financial/Trade IGOs",2016
22,NULL,Syria,2016-06-27,NULL,2016-06-27,ICEWS24680386,"Russian Foreign Minister Sergei Lavrov met on Monday with leader of the Syrian opposition movement Syria’s Tomorrow Ahmed al-Jarba to tell him about Russia’s efforts in the interests of political settlement in that country, the Russian foreign ministry said.",Consult,"Lavrov, Syria’s Tomorrow leader discuss prospects of Geneva-based intra-Syrian talks","(2016, 26, 3)",1,33.5102,36.2913,6,NULL,Unknown,1,Factiva,Syria,Opposition Supporter (Syria),"Dissident,Protestors / Popular Opposition / Mobs",41539234,Russian Federation,Sergey Viktorovich Lavrov,"Executive,Cabinet,Government,(National) Major Party,Parties,Ideological,Center Right,Foreign Ministry",2016
23,Al Fallujah,Iraq,2016-06-27,NULL,2016-06-27,ICEWS24680392,"Colonel Ahmed al-Saidi, who participated in Monday's advance, said ground forces were moving cautiously to avoid triggering roadside bombs planted by Islamic State.",Make statement,Iraqi army closes in on Islamic State militants holed up west of Falluja,"(2016, 26, 3)",0,33.3558,43.7861,6,Muhafazat al Anbar,Reuters News,5,Factiva,Iraq,Military Personnel (Iraq),"Government,Military",41539251,Iraq,Military (Iraq),"Government,Military",2016
24,Beirut,Lebanon,2016-06-27,NULL,2016-06-27,ICEWS24680426,"At least five people were killed on Monday and 15 others wounded in attacks committed consecutively by four suicide bombers in the northeastern Lebanese village of al-Qaa, near the Syrian border.",Use unconventional violence,"At least 5 dead, 15 wounded in suicide attacks in northeastern Lebanon","(2016, 26, 3)",-9,33.8889,35.4944,6,Beyrouth,EFE News Service,2,Factiva,Lebanon,Armed Gang (Lebanon),Unidentified Forces,41539336,Lebanon,Lebanon,NULL,2016
25,Beirut,Lebanon,2016-06-27,NULL,2016-06-27,ICEWS24680427,"According to a statement from the Lebanese army, one of the bombers blew himself up outside a citizen's house in Qaa.","Conduct suicide, car, or other non-military bombing","At least 5 dead, 15 wounded in suicide attacks in northeastern Lebanon","(2016, 26, 3)",-10,33.8889,35.4944,6,Beyrouth,EFE News Service,5,Factiva,Lebanon,Citizen (Lebanon),"Social,General Population / Civilian / Social",41539336,Lebanon,Lebanon,NULL,2016
26,Damascus,Syria,2016-06-27,NULL,2016-06-27,ICEWS24680463,"BEIRUT (AP) — The U.N. and the International Committee of the Red Cross say they are delivering aid for 30,000 people in the besieged rebel-held Damascus suburb of Qudsaya.",Provide aid,Aid convoy enters Damascus suburb,"(2016, 26, 3)",7,33.5102,36.2913,6,Dimashq,Associated Press Newswires,1,Factiva,NULL,United Nations,"Global,International Government Organization,Global Diplomatic IGOs",41539385,Syria,Citizen (Syria),"General Population / Civilian / Social,Social",2016
27,Damascus,Syria,2016-06-27,NULL,2016-06-27,ICEWS24680464,"BEIRUT (AP) — The U.N. and the International Committee of the Red Cross say they are delivering aid for 30,000 people in the besieged rebel-held Damascus suburb of Qudsaya.",Make statement,Aid convoy enters Damascus suburb,"(2016, 26, 3)",0,33.5102,36.2913,6,Dimashq,Associated Press Newswires,1,Factiva,NULL,International Committee of the Red Cross,"Nongovernmental Organization (International),Medical / Health NGOs,Nongovernmental Organizations / Activists",41539385,NULL,United Nations,"Global,International Government Organization,Global Diplomatic IGOs",2016
28,Al Fallujah,Iraq,2016-06-27,NULL,2016-06-27,ICEWS24680499,"Prime Minister Haider al-Abadi, visiting central Fallujah with the celebrating troops, vowed that the Iraqi flag would next be raised above Mosul.",Host a visit,"Fallujah liberated from IS group, Iraqi commander says","(2016, 26, 3)",2.8,33.3558,43.7861,6,Muhafazat al Anbar,Unknown,3,Factiva,Iraq,Iraq,NULL,41539471,Iraq,Haider Al-Abadi,"Shia,Lower House,Executive Office,(National) Major Party,Parties,Executive,Legislative / Parliamentary,Fundamentalist,Muslim,Government,Ideological,International Religious",2016
