,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
11,Damascus,Syria,2016-07-29,NULL,2016-07-29,ICEWS24809331,"The deputy minister added that Assad had already sent an invitation for a meeting to the deputy special envoy of the UN secretary-general for Syria, Ramzy Ezzeldin Ramzy, who was planning to visit Damascus in a few days to discuss crisis resolution.",Express intent to meet or negotiate,Assad Devoted to Syrian Settlement With De Mistura's Help - Russian Defense Ministry,"(2016, 30, 3)",4,33.5102,36.2913,7,Dimashq,Unknown,3,Factiva,NULL,Staffan de Mistura,"Global,International Government Organization,Global Diplomatic IGOs",41850207,Syria,Syria,NULL,2016
28,NULL,Iraq,2016-08-01,NULL,2016-08-01,ICEWS24802605,"The TV said that Abadi asked the MPs to cooperate with the investigation committee, asserting that 'no one is above the law'.",Make an appeal or request,Iraqi PM demands probe into accusations made by defence minister,"(2016, 31, 3)",3,33.3406,44.4009,8,NULL,BBC Monitoring Middle East,3,Factiva,Iraq,Haider Al-Abadi,"International Religious,Ideological,Lower House,Legislative / Parliamentary,Government,Shia,(National) Major Party,Parties,Muslim,Executive,Executive Office,Fundamentalist",41832665,Iraq,Member of Parliament (Iraq),"Legislative / Parliamentary,Government",2016
29,NULL,Iraq,2016-08-01,NULL,2016-08-01,ICEWS24802603,"For his part, Obeidi accused Iraqi Speaker Salim al-Jubouri and several several MPs of 'corruption' and 'political blackmail', pro-Shia Al-Itejah TV reported.","Accuse of crime, corruption",Iraqi PM demands probe into accusations made by defence minister,"(2016, 31, 3)",-2,33.3406,44.4009,8,NULL,BBC Monitoring Middle East,5,Factiva,Iraq,Khaled al-Obeidi,"Executive,Defense / Security Ministry,Government",41832665,Iraq,Member of Parliament (Iraq),"Legislative / Parliamentary,Government",2016
30,NULL,Iraq,2016-08-01,NULL,2016-08-01,ICEWS24802604,"For his part, Obeidi accused Iraqi Speaker Salim al-Jubouri and several several MPs of 'corruption' and 'political blackmail', pro-Shia Al-Itejah TV reported.","Accuse of crime, corruption",Iraqi PM demands probe into accusations made by defence minister,"(2016, 31, 3)",-2,33.3406,44.4009,8,NULL,BBC Monitoring Middle East,5,Factiva,Iraq,Khaled al-Obeidi,"Executive,Defense / Security Ministry,Government",41832665,Iraq,Salim al-Juburi,"Legislative / Parliamentary,Government",2016
31,Aleppo,Syria,2016-08-01,NULL,2016-08-01,ICEWS24802607,The attack came as Syrian opposition fighters and their jihadist allies battled government forces outside Aleppo in a bid to ease the regime's siege of rebel-held parts of the northern city.,Use conventional military force,Five dead as Russian military helicopter downed in Syria,"(2016, 31, 3)",-10,36.2012,37.1612,8,Muhafazat Halab,Agence France-Presse,2,Factiva,Syria,Military (Syria),"Government,Military",41832676,Syria,Citizen (Syria),"General Population / Civilian / Social,Social",2016
32,Aleppo,Syria,2016-08-01,NULL,2016-08-01,ICEWS24802608,The attack came as Syrian opposition fighters and their jihadist allies battled government forces outside Aleppo in a bid to ease the regime's siege of rebel-held parts of the northern city.,Use conventional military force,Five dead as Russian military helicopter downed in Syria,"(2016, 31, 3)",-10,36.2012,37.1612,8,Muhafazat Halab,Agence France-Presse,2,Factiva,Syria,Military (Syria),"Government,Military",41832676,Syria,Combatant (Syria),Unidentified Forces,2016
33,Aleppo,Syria,2016-08-01,NULL,2016-08-01,ICEWS24802609,The attack came as Syrian opposition fighters and their jihadist allies battled government forces outside Aleppo in a bid to ease the regime's siege of rebel-held parts of the northern city.,Use unconventional violence,Five dead as Russian military helicopter downed in Syria,"(2016, 31, 3)",-9,36.2012,37.1612,8,Muhafazat Halab,Agence France-Presse,2,Factiva,Syria,Citizen (Syria),"General Population / Civilian / Social,Social",41832676,Syria,Military (Syria),"Government,Military",2016
34,Aleppo,Syria,2016-08-01,NULL,2016-08-01,ICEWS24802610,The attack came as Syrian opposition fighters and their jihadist allies battled government forces outside Aleppo in a bid to ease the regime's siege of rebel-held parts of the northern city.,Use unconventional violence,Five dead as Russian military helicopter downed in Syria,"(2016, 31, 3)",-9,36.2012,37.1612,8,Muhafazat Halab,Agence France-Presse,2,Factiva,Syria,Combatant (Syria),Unidentified Forces,41832676,Syria,Military (Syria),"Government,Military",2016
35,NULL,Syria,2016-08-01,NULL,2016-08-01,ICEWS24802623,Russian air forces are supporting President Bashar al-Assad in Syria's five-year-old civil war.,Praise or endorse,UPDATE 2-Russian helicopter downed in rebel-held Idlib province,"(2016, 31, 3)",3.4,35.7667,36.6667,8,Idlib,Reuters News,3,Factiva,Russian Federation,Russian Air Force,"Government,Military,Air Force",41832722,Syria,Bashar al-Assad,"International Religious,Ideological,Executive Office,National Ethnic,Shia,Executive,Government,Far Right,Religious Minority,Parties,National Ethnic Minority,(National) Major Party,National Religious,Social",2016
36,Jizan,Saudi Arabia,2016-08-01,NULL,2016-08-01,ICEWS24802631,"RIYADH, Saudi Arabia (AP) — Saudi Arabia says four family members have been killed by a cross-border missile from Yemen that struck their home in the southern region of Jizan.",Make statement,Cross-border attack from Yemen kills 4 Saudi family members,"(2016, 31, 3)",0,16.8892,42.5511,8,Mintaqat Jizan,Associated Press Newswires,1,Factiva,Saudi Arabia,Saudi Arabia,NULL,41832751,Yemen,Yemen,NULL,2016
37,Jizan,Saudi Arabia,2016-08-01,NULL,2016-08-01,ICEWS24802630,"The attack comes one day after the Saudi-led military coalition said seven Saudi border guards, including an officer, were killed in a cross-border clash with militants from Yemen.",Use unconventional violence,Cross-border attack from Yemen kills 4 Saudi family members,"(2016, 31, 3)",-9,16.8892,42.5511,8,Mintaqat Jizan,Associated Press Newswires,4,Factiva,Yemen,Militant (Yemen),Unidentified Forces,41832751,Saudi Arabia,Reserve Personnel (Saudi Arabia),"Military,Government",2016
38,Cairo,Egypt,2016-08-01,NULL,2016-08-01,ICEWS24802661,"Cairo, Aug 01, 2016 (Aswat Masriya/All Africa Global Media via COMTEX) -- The Cairo Criminal Court adjourned on Sunday the trial of 67 defendants accused of assassinating late prosecutor general Hisham Barakat to Aug 16.",Assassinate,Court Adjourns Trial of 67 Involved in Top Prosecutor's Assassination to Aug. 16,"(2016, 31, 3)",-10,30.0626,31.2497,8,Muhafazat al Qahirah,All Africa,1,Factiva,Egypt,Citizen (Egypt),"Social,General Population / Civilian / Social",41832831,Egypt,Hisham Barakat,"Legal,Judicial,Government,Justice / Law Ministry,Social,Executive",2016
39,Jawbar,Syria,2016-08-01,NULL,2016-08-01,ICEWS24802682,"Units of the group Jaysh al-Islam, which classes itself as an opposition group, opened mortar fire on the populated areas of Jobar, Arbil, Duma and Harasta, Damascus province.",fight with small arms and light weapons,"Ceasefire regime violated in Syria 6 times in past 24 hours, in Damascus and Latakia - Russian Defense Ministry","(2016, 31, 3)",-10,33.5203,36.3327,8,Dimashq,Interfax News Service,5,Factiva,Syria,Jaysh al-Islam,"Rebel,Dissident",41832868,Syria,Syria,NULL,2016
40,Latakia,Syria,2016-08-01,NULL,2016-08-01,ICEWS24802681,"In the Latakia province, armed units of the Free Syrian Army opened fire on the populated areas of Tubal and Zuaikat?.",fight with small arms and light weapons,"Ceasefire regime violated in Syria 6 times in past 24 hours, in Damascus and Latakia - Russian Defense Ministry","(2016, 31, 3)",-10,35.5317,35.7901,8,Muhafazat al Ladhiqiyah,Interfax News Service,6,Factiva,Syria,Free Syrian Army,"Insurgents,Dissident",41832868,Syria,Syria,NULL,2016
41,Baghdad,Iraq,2016-08-01,NULL,2016-08-01,ICEWS24802711,"People have been furious over delays in determining the fate of their loved ones, and have sharply criticised the Iraqi government for failing to protect them.",Criticize or denounce,Death toll from July Baghdad blast rises to 323: minister,"(2016, 31, 3)",-2,33.3406,44.4009,8,Muhafazat Baghdad,Agence France-Presse,6,Factiva,Iraq,Citizen (Iraq),"General Population / Civilian / Social,Social",41832941,Iraq,Government (Iraq),Government,2016
