,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
8,NULL,Egypt,2016-02-25,NULL,2016-02-25,ICEWS24236669,"A member of the Egyptian parliament, Tawfik Okasha, has invited the Israeli ambassador to Egypt to a dinner at his house to discuss the option of Israeli mediation in Egypt's Nile dispute with Ethiopia, Egyptian media reported.",Make an appeal or request,Egyptian MP invites Israeli envoy to discuss mediation of Nile dispute,"(2016, 8, 3)",3,30.0626,31.2497,2,NULL,The Jerusalem Post,1,Factiva,Egypt,Legislature (Egypt),"Government,Legislative / Parliamentary",40483650,Israel,Foreign Affairs (Israel),"Government,Foreign Ministry,Executive",2016
9,NULL,Egypt,2016-02-25,NULL,2016-02-25,ICEWS24236670,"A member of the Egyptian parliament, Tawfik Okasha, has invited the Israeli ambassador to Egypt to a dinner at his house to discuss the option of Israeli mediation in Egypt's Nile dispute with Ethiopia, Egyptian media reported.",Express intent to meet or negotiate,Egyptian MP invites Israeli envoy to discuss mediation of Nile dispute,"(2016, 8, 3)",4,30.0626,31.2497,2,NULL,The Jerusalem Post,1,Factiva,Egypt,Legislature (Egypt),"Government,Legislative / Parliamentary",40483650,Israel,Foreign Affairs (Israel),"Government,Foreign Ministry,Executive",2016
10,Beirut,Lebanon,2016-02-26,NULL,2016-02-26,ICEWS24231068,Last week Saudi Arabia cancelled a $3 billion aid package to the Lebanese army over the Beirut government's failure to sign up to statements condemning attacks on Saudi diplomatic missions in Iran.,Reduce or stop humanitarian assistance,INTERVIEW-Lebanon's central bank governor sees no risk to pound,"(2016, 8, 3)",-5.6,33.8889,35.4944,2,Beyrouth,Reuters News,5,Factiva,Saudi Arabia,Saudi Arabia,NULL,40471382,Lebanon,Military (Lebanon),"Government,Military",2016
20,Hamah,Syria,2016-02-28,NULL,2016-02-28,ICEWS24245814,"Jaish al-Nasr, a group affiliated with the Free Syrian Army, accused the Russians of continuing their assault - with admittedly less ferocity - in the region of Hama.",Use conventional military force,"Weapons fall mostly silent as Syria truce takes effect. Both sides publicly embrace first armistice since war began. Rebels blame infractions on gov't, Russia","(2016, 8, 3)",-10,35.1318,36.7578,2,Muhafazat Hamah,The Jerusalem Post,5,Factiva,Russian Federation,Russia,NULL,40504958,Syria,Syria,NULL,2016
28,Al Ashrafiyah,Syria,2016-02-29,NULL,2016-02-29,ICEWS24231060,"The streets of the Bani Zaid block have been attacked by snipers for several hours,' the source told RIA Novosti.",Use unconventional violence,Nusra Front Terrorists Attack Kurdish Residential Areas in Syria’s Aleppo,"(2016, 9, 3)",-9,34.8199,36.7564,2,Muhafazat Hims,Unknown,4,Factiva,Syria,Citizen (Syria),"General Population / Civilian / Social,Social",40471339,Syria,Syria,NULL,2016
29,NULL,Egypt,2016-02-29,NULL,2016-02-29,ICEWS24231084,"In the address, el-Sisi thanked Japan for providing economic assistance to his country, saying, 'The Egyptian people are feeling the benefits from Japanese aid in their daily lives.'",Praise or endorse,Egypt president seeks closer education cooperation with Japan,"(2016, 9, 3)",3.4,30.0626,31.2497,2,NULL,BBC Monitoring Asia Pacific,6,Factiva,Egypt,Abdel Fattah Al-Sisi,"Government,Sunni,Elite,International Religious,Executive,Executive Office",40471411,Japan,Japan,NULL,2016
30,NULL,Syria,2016-02-29,NULL,2016-02-29,ICEWS24231105,"On Friday morning in Jabal al-Akrad (Kurds Mountain), the Syrian army alongside the Syrian Marines, the Syrian Social Nationalist Party (SSNP), Liwa Suqour al-Sahra (Desert Hawks Brigade) and the National Defense Forces (NDF) imposed full control over the strategic village of Ein al-Beidha at the Idlib border.",Impose administrative sanctions,Syria: Russian Air Force Pounds Terrorists' Defense Lines in Idlib,"(2016, 9, 3)",-5,35.7667,36.6667,2,Idlib,FARS News Agency,5,Factiva,Syria,Military (Syria),"Government,Military",40471450,Syria,Syria,NULL,2016
31,NULL,Iraq,2016-02-29,NULL,2016-02-29,ICEWS24231109,"'Our forces have repelled the ISIL's attacks on Hamreen heights in Salahuddin province,' Commander of Imam Khamenei Battalion Haidar al-Hosseini al-Ardavi told FNA on Monday.",Use conventional military force,EXCLUSIVE: Iraqi Forces Take Upper-Hand against ISIL Militants in Salahuddin Province,"(2016, 9, 3)",-10,34.5,43.65,2,Muhafazat Salah ad Din,FARS News Agency,2,Factiva,Iraq,Military (Iraq),"Military,Government",40471455,Iraq,Islamic State of Iraq and the Levant,"Sunni,Ideological,Fundamentalist,International Religious,Dissident,Muslim,Insurgents",2016
32,Ash Sharqat,Iraq,2016-02-29,NULL,2016-02-29,ICEWS24231108,"'The ISIL has carried out heavy attacks against the military positions of the Iraqi volunteer forces, including Imam Khamenei Battalion and Imam Mohammad Javad Brigade, since yesterday, but the Iraqi volunteer forces have managed to kill 53 ISIL terrorists and injure scores of others,' al-Ardavi added.",Use conventional military force,EXCLUSIVE: Iraqi Forces Take Upper-Hand against ISIL Militants in Salahuddin Province,"(2016, 9, 3)",-10,35.486,43.2408,2,Muhafazat Salah ad Din,FARS News Agency,4,Factiva,Iraq,Military (Iraq),"Military,Government",40471455,Iraq,Terrorist (Islamic State of Iraq and the Levant),"Sunni,Ideological,Fundamentalist,International Religious,Dissident,Muslim,Insurgents",2016
33,Baghdad,Iraq,2016-02-29,NULL,2016-02-29,ICEWS24231106,"In a relevant development on Sunday, the Iraqi army and volunteer forces (Hashd al-Shaabi forces) repelled the ISIL's attacks on several villages in the Western part of Baghdad.",Use conventional military force,EXCLUSIVE: Iraqi Forces Take Upper-Hand against ISIL Militants in Salahuddin Province,"(2016, 9, 3)",-10,33.3406,44.4009,2,Muhafazat Baghdad,FARS News Agency,5,Factiva,Iraq,Military (Iraq),"Military,Government",40471455,Iraq,Islamic State of Iraq and the Levant,"Sunni,Ideological,Fundamentalist,International Religious,Dissident,Muslim,Insurgents",2016
