,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
39,Hasaka,Syria,2017-08-14,NULL,2017-08-14,ICEWS27918203,"The sources said that after the SDF sustained a large number of casualties in clashes with the ISIL terrorists in the city of Raqqa, tens of Kurdish fighters fled the scene and returned to their villages near Hasaka.",Make statement,Kurdish Sources: 65 Percent of Raqqa City under SDF Control,"(2017, 33, 3)",0,36.5024,40.7477,8,Muhafazat al Hasakah,FARS News Agency,5,Factiva,Iran,Iranian Kurds,"Kurd (Ethnic Group),International Ethnic",45056285,Iran,Combatant (Iranian Kurds),"Kurd (Ethnic Group),International Ethnic",2017
40,Jawbar,Syria,2017-08-14,NULL,2017-08-14,ICEWS27918164,"Syrian Army General Fauz Mustafa said Monday earlier today that the military helicopters continued to drop thousands of leaflets over terrorist-held regions in Eastern Ghouta, urging militants to give up fight and surrender to the officials in charge.",Make statement,Syria: Terrorists Continue Vast Withdrawal from Eastern Damascus,"(2017, 33, 3)",0,33.5203,36.3327,8,Dimashq,FARS News Agency,4,Factiva,Syria,High Ranking Military Personnel (Syria),"Government,Military",45056287,Iran,Military (Iran),"Government,Military",2017
41,Jawbar,Syria,2017-08-14,NULL,2017-08-14,ICEWS27918166,"Syrian Army General Fauz Mustafa said Monday earlier today that the military helicopters continued to drop thousands of leaflets over terrorist-held regions in Eastern Ghouta, urging militants to give up fight and surrender to the officials in charge.",Employ aerial weapons,Syria: Terrorists Continue Vast Withdrawal from Eastern Damascus,"(2017, 33, 3)",-10,33.5203,36.3327,8,Dimashq,FARS News Agency,4,Factiva,Iran,Military (Iran),"Government,Military",45056287,Iran,Iran,NULL,2017
42,Jawbar,Syria,2017-08-14,NULL,2017-08-14,ICEWS27918165,General Mustafa said that the Syrian Defense Ministry is trying to encourage gunmen the Daamscus suburbs of Eastern Ghouta where a de-escalation zone was set up nearly a month ago to come back to normal life.,Make statement,Syria: Terrorists Continue Vast Withdrawal from Eastern Damascus,"(2017, 33, 3)",0,33.5203,36.3327,8,Dimashq,FARS News Agency,5,Factiva,Syria,High Ranking Military Personnel (Syria),"Government,Military",45056287,Syria,Ministry of Defense,"Government,Executive,Defense / Security Ministry",2017
45,Alexandria,Egypt,2017-08-14,NULL,2017-08-14,ICEWS27918318,"The prosecutor has ordered the detention of two train drivers and their assistants involved in Friday's fatal accident, according to the state news agency MENA.","Arrest, detain, or charge with legal action",Train Crews Detained Following Fatal Crash in Alexandria,"(2017, 33, 3)",-5,31.2156,29.9553,8,Muhafazat al Iskandariyah,Unknown,3,Factiva,Egypt,Lawyer/Attorney (Egypt),"Social,Legal",45056789,Egypt,Citizen (Egypt),"General Population / Civilian / Social,Social",2017
53,NULL,Iraq,2017-08-14,NULL,2017-08-14,ICEWS27918515,"On July 20, the Russian president's aide on defense industry cooperation, Vladimir Kozhin, said Russia and Iraq had signed a contract for the delivery of a 'large batch' of modernized T-90 main battle tanks, which had shown their worth in Syria.",Sign formal agreement,Russia to Begin Supplies of T-90 Tanks to Iraq Soon - Ambassador,"(2017, 33, 3)",8,33.3406,44.4009,8,NULL,Unknown,5,Factiva,Iraq,Iraq,NULL,45057359,Russian Federation,Russia,NULL,2017
54,NULL,Iraq,2017-08-14,NULL,2017-08-14,ICEWS27918503,"The US Secretary of State, Rex Tillerson, has officially asked Iraqi Kurds to postpone the independence referendum scheduled for 25 September in a phone call with the president of Iraqi Kurdistan Region, Mas'ud Barzani, on 10 August.",Make an appeal or request,Kurdish leader seeks US guarantee if referendum postponed,"(2017, 33, 3)",3,36.2267,44.7611,8,Kurdistan,BBC Monitoring Middle East,2,Factiva,United States,Citizen (United States),"Social,General Population / Civilian / Social",45057408,Iraq,Citizen (Iraq),"Social,General Population / Civilian / Social",2017
55,Damascus,Syria,2017-08-14,NULL,2017-08-14,ICEWS27918630,"Ingy Sedky, a Damascus-based spokeswoman for the ICRC, said more than 40 camps each hosting anywhere between 2,000 and 10,000 people had been set up in often-remote areas in the two provinces.",Make statement,Syrians fleeing IS face 'terrible' camp conditions: ICRC,"(2017, 33, 3)",0,33.5102,36.2913,8,Dimashq,Agence France-Presse,4,Factiva,Syria,Media Personnel (Syria),"Media,Social",45057432,Syria,Syria,NULL,2017
59,NULL,Syria,2017-08-14,NULL,2017-08-14,ICEWS27918723,TASS: DEFENSE MINISTRY SAYS RUSSIAN MILITARY ADVISERS TOOK PART IN PREPARATION OF LANDING OPERATION FOR SYRIAN ARMY IN AL-KADIR,Make a visit,TASS: DEFENSE MINISTRY SAYS RUSSIAN MILITARY ADVISERS TOOK PART IN PREPARATION OF LANDING OPERATION FOR SYRIAN ARMY IN AL-KADIR,"(2017, 33, 3)",1.9,33.5102,36.2913,8,NULL,Unknown,1,Factiva,Russian Federation,Military Advisor (Russia),"Government,Military",45057758,Syria,Military (Syria),"Government,Military",2017
60,NULL,Syria,2017-08-14,NULL,2017-08-14,ICEWS27918724,TASS: DEFENSE MINISTRY SAYS RUSSIAN MILITARY ADVISERS TOOK PART IN PREPARATION OF LANDING OPERATION FOR SYRIAN ARMY IN AL-KADIR,Host a visit,TASS: DEFENSE MINISTRY SAYS RUSSIAN MILITARY ADVISERS TOOK PART IN PREPARATION OF LANDING OPERATION FOR SYRIAN ARMY IN AL-KADIR,"(2017, 33, 3)",2.8,33.5102,36.2913,8,NULL,Unknown,1,Factiva,Syria,Military (Syria),"Government,Military",45057758,Russian Federation,Military Advisor (Russia),"Government,Military",2017
