,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
19,Damascus,Syria,2017-05-17,NULL,2017-05-17,ICEWS27617612,"In a press conference Monday, the US accused the Syrian regime of using a crematorium to dispose of bodies to cover up extensive mass murders by the government.",Accuse,Analysis: Is Syria becoming a modern-day Holocaust?,"(2017, 20, 3)",-2,33.5102,36.2913,5,Dimashq,The Jerusalem Post,1,Factiva,United States,United States,NULL,44331707,Syria,Government (Syria),Government,2017
20,Masadah,Syria,2017-05-17,NULL,2017-05-17,ICEWS27617568,"On his first day in the region, Trump will meet with President Reuven Rivlin, lay a wreath at Yad Vashem and visit the Israel Museum, before dining with Prime Minister Benjamin Netanyahu and his wife.",Express intent to meet or negotiate,US president's NSC head avoids calling Western Wall part of Israel during briefing,"(2017, 20, 3)",4,36.9934,41.3254,5,Muhafazat al Hasakah,The Jerusalem Post,5,Factiva,United States,Donald Trump,"Government,Executive,Executive Office",44331714,Israel,Reuven Rivlin,"Executive,Government,Elite,Executive Office",2017
45,Masadah,Syria,2017-05-19,NULL,2017-05-19,ICEWS27627686,"Some of them relate directly to Israel, including the allegations that Trump shared sensitive intelligence with Russia that came from Israel.",Share intelligence or information,Trump's Kotel politics,"(2017, 20, 3)",7,36.9934,41.3254,5,Muhafazat al Hasakah,The Jerusalem Post,6,Factiva,United States,Donald Trump,"Government,Executive,Executive Office",44352937,Russian Federation,Russia,NULL,2017
46,NULL,Jordan,2017-05-19,NULL,2017-05-19,ICEWS27627817,"Speaking to Al Jazeera anonymously, the Jordanian officials said they 'don't believe Israel has any high level spies' inside ISIS.",Consult,"Jordan: The leak was ours, not Israel's","(2017, 20, 3)",1,31.9552,35.945,5,NULL,The Jerusalem Post,3,Factiva,Jordan,Jordan,NULL,44352948,Qatar,Al Jazeera,"Information / Communication / Transparency Ministry,Social,State Media,Executive,Government,Television News,News,Media",2017
47,NULL,Jordan,2017-05-19,NULL,2017-05-19,ICEWS27627820,"Speaking to Al Jazeera anonymously, the Jordanian officials said they 'don't believe Israel has any high level spies' inside ISIS.",Consult,"Jordan: The leak was ours, not Israel's","(2017, 20, 3)",1,31.9552,35.945,5,NULL,The Jerusalem Post,3,Factiva,Qatar,Al Jazeera,"Information / Communication / Transparency Ministry,Social,State Media,Executive,Government,Television News,News,Media",44352948,Jordan,Jordan,NULL,2017
48,NULL,Jordan,2017-05-19,NULL,2017-05-19,ICEWS27627819,Trump and Jordan's King Abdullah spoke by phone on Tuesday ahead of his upcoming visit to the region.,Discuss by telephone,"Jordan: The leak was ours, not Israel's","(2017, 20, 3)",1,31.9552,35.945,5,NULL,The Jerusalem Post,6,Factiva,Jordan,Abdullah II of Jordan,"Executive,Government,Executive Office,Elite",44352948,United States,Donald Trump,"Government,Executive,Executive Office",2017
49,Riyadh,Saudi Arabia,2017-05-19,NULL,2017-05-19,ICEWS27627673,"The president will visit Jerusalem and Bethlehem during his visit on Monday and Tuesday, meeting with both Israeli and Palestinian leaders, after attending an 'Arab Islamic summit' in Riyadh over the weekend.",Express intent to meet or negotiate,Trump to demand PM curb settlements. Source: President 'has not abandoned two-state solution',"(2017, 20, 3)",4,24.6877,46.7219,5,Mintaqat ar Riyad,The Jerusalem Post,2,Factiva,United States,Donald Trump,"Government,Executive,Executive Office",44352952,Israel,Israel,NULL,2017
50,Riyadh,Saudi Arabia,2017-05-19,NULL,2017-05-19,ICEWS27627675,"The president will visit Jerusalem and Bethlehem during his visit on Monday and Tuesday, meeting with both Israeli and Palestinian leaders, after attending an 'Arab Islamic summit' in Riyadh over the weekend.",Make a visit,Trump to demand PM curb settlements. Source: President 'has not abandoned two-state solution',"(2017, 20, 3)",1.9,24.6877,46.7219,5,Mintaqat ar Riyad,The Jerusalem Post,2,Factiva,United States,Donald Trump,"Government,Executive,Executive Office",44352952,Saudi Arabia,Saudi Arabia,NULL,2017
51,Riyadh,Saudi Arabia,2017-05-19,NULL,2017-05-19,ICEWS27627676,"The president will visit Jerusalem and Bethlehem during his visit on Monday and Tuesday, meeting with both Israeli and Palestinian leaders, after attending an 'Arab Islamic summit' in Riyadh over the weekend.",Host a visit,Trump to demand PM curb settlements. Source: President 'has not abandoned two-state solution',"(2017, 20, 3)",2.8,24.6877,46.7219,5,Mintaqat ar Riyad,The Jerusalem Post,2,Factiva,Saudi Arabia,Saudi Arabia,NULL,44352952,United States,Donald Trump,"Government,Executive,Executive Office",2017
52,Riyadh,Saudi Arabia,2017-05-19,NULL,2017-05-19,ICEWS27634521,Western diplomats in the kingdom have said that Trump has expressed strong support for Saudi Arabia's 'Vision 2030' economic reform plan.,Praise or endorse,"Energy, Defense on Trump's Agenda for Saudi Visit","(2017, 20, 3)",3.4,24.6877,46.7219,5,Mintaqat ar Riyad,The Oil Daily,2,Factiva,United States,Donald Trump,"Executive Office,Executive,Government",44368443,Saudi Arabia,Saudi Arabia,NULL,2017
