,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
4,NULL,Egypt,2016-04-13,NULL,2016-04-13,ICEWS24428078,"In what appears to be part of this alliance building, Saudi King Salman continued on from his visit to Egyptian President Abdel Fattah al-Sisi to meet with Turkish President Recep Tayyip Erdogan on Tuesday.",Make a visit,Saudi-Egypt agreements part of Gulf effort to unite Sunnis against Iran. Initiative for joint Arab League army against terrorism lacks broad support,"(2016, 15, 3)",1.9,30.0626,31.2497,4,NULL,The Jerusalem Post,4,Factiva,Saudi Arabia,Salman bin Abdulaziz al-Saud,"Executive,Government,Elite,Executive Office",40916019,Egypt,Abdel Fattah Al-Sisi,"Elite,Executive,Sunni,Executive Office,International Religious,Government",2016
5,NULL,Egypt,2016-04-13,NULL,2016-04-13,ICEWS24428083,"In what appears to be part of this alliance building, Saudi King Salman continued on from his visit to Egyptian President Abdel Fattah al-Sisi to meet with Turkish President Recep Tayyip Erdogan on Tuesday.",Host a visit,Saudi-Egypt agreements part of Gulf effort to unite Sunnis against Iran. Initiative for joint Arab League army against terrorism lacks broad support,"(2016, 15, 3)",2.8,30.0626,31.2497,4,NULL,The Jerusalem Post,4,Factiva,Egypt,Abdel Fattah Al-Sisi,"Elite,Executive,Sunni,Executive Office,International Religious,Government",40916019,Saudi Arabia,Salman bin Abdulaziz al-Saud,"Executive,Government,Elite,Executive Office",2016
8,NULL,Egypt,2016-04-14,NULL,2016-04-14,ICEWS24432732,Saudi Arabian king Salman bin Abdulaziz Al Saud's five-day visit to Egypt is an expression of the warming of ties between the two countries since Abdel Fattah Sisi became president of Egypt in June 2013.,Make a visit,Saudi Arabia: Lynchpin of the moderate axis in the Middle East,"(2016, 15, 3)",1.9,30.0626,31.2497,4,NULL,The Jerusalem Post,1,Factiva,Saudi Arabia,Salman bin Abdulaziz al-Saud,"Executive Office,Government,Elite,Executive",40927108,Egypt,Egypt,NULL,2016
9,NULL,Egypt,2016-04-14,NULL,2016-04-14,ICEWS24432734,Saudi Arabian king Salman bin Abdulaziz Al Saud's five-day visit to Egypt is an expression of the warming of ties between the two countries since Abdel Fattah Sisi became president of Egypt in June 2013.,Host a visit,Saudi Arabia: Lynchpin of the moderate axis in the Middle East,"(2016, 15, 3)",2.8,30.0626,31.2497,4,NULL,The Jerusalem Post,1,Factiva,Egypt,Egypt,NULL,40927108,Saudi Arabia,Salman bin Abdulaziz al-Saud,"Executive Office,Government,Elite,Executive",2016
10,Riyadh,Saudi Arabia,2016-04-14,NULL,2016-04-14,ICEWS24432733,"The ouster of Mohammed Morsi and declaration of the Muslim Brotherhood as a terrorist organization in December 2013 were welcomed by Riyadh and immediately rewarded with a $12 billion aid package from Saudi Arabia, Kuwait and the UAE.",Praise or endorse,Saudi Arabia: Lynchpin of the moderate axis in the Middle East,"(2016, 15, 3)",3.4,24.6877,46.7219,4,Mintaqat ar Riyad,The Jerusalem Post,2,Factiva,Saudi Arabia,Saudi Arabia,NULL,40927108,Egypt,Muslim Brotherhood,"Social,Fundamentalist,(National) Major Party,Parties,Muslim,National Religious,Ideological,Sunni,International Religious",2016
11,NULL,Egypt,2016-04-14,NULL,2016-04-14,ICEWS24432844,"The move by Egyptian President Abdel Fattah al-Sisi has met with outrage by many Egyptians, including politicians, military officers and the Muslim Brotherhood, the latter of which blamed 'the criminal Sisi for robbing Egypt's natural resources in exchange for Saudi financial aid and support in the corrupt Egyptian regime.'","Accuse of crime, corruption",Bridge to peace,"(2016, 15, 3)",-2,30.0626,31.2497,4,NULL,The Jerusalem Post,6,Factiva,Egypt,Muslim Brotherhood,"Social,Fundamentalist,(National) Major Party,Parties,Muslim,National Religious,Ideological,Sunni,International Religious",40927112,Egypt,Abdel Fattah Al-Sisi,"Government,Executive,Elite,Sunni,Executive Office,International Religious",2016
15,Aleppo,Syria,2016-04-15,NULL,2016-04-15,ICEWS24437366,Assad's forces have launched an offensive across southern Aleppo province.,Use conventional military force,Ready for the storm,"(2016, 15, 3)",-10,36.2012,37.1612,4,Muhafazat Halab,The Jerusalem Post,2,Factiva,Syria,Military (Syria),"Government,Military",40938991,Syria,Syria,NULL,2016
39,NULL,Syria,2016-04-18,NULL,2016-04-18,ICEWS24426960,"GENEVA, April 18 (Sputnik) - Israel's actions in the disputed Golan Heights prove its links to the Islamic State and al-Nusra Front groups (banned in Russia), head of the Syrian government delegation at the Geneva talks Bashar Jaafari said Monday, strongly criticizing Israeli Prime Minister Benjamin Netanyahu over the matter.",Criticize or denounce,"Damascus Slams Netanyahu Over Golan Heights Issue, Says Israel Cooperates With IS","(2016, 16, 3)",-2,32.9049,35.8073,4,Golan Heights,Unknown,1,Factiva,Syria,Bashar Ja'afari,"Executive,Foreign Ministry,Government",40913088,Israel,Benjamin Netanyahu,"Government,International Ethnic,Executive,Ideological,Center Right,Executive Office,Parties,(National) Major Party,Foreign Ministry,Jews,Elite",2016
40,NULL,Iraq,2016-04-18,NULL,2016-04-18,ICEWS24426824,"Iraqi premier Haider al-Abadi called Monday for the fractious parliament to put aside its differences and do its job, saying he hopes a new cabinet will be approved in days.",Make optimistic comment,Iraq PM calls on fractious parliament to do its job,"(2016, 16, 3)",0.4,33.3406,44.4009,4,NULL,Agence France-Presse,1,Factiva,Iraq,Haider Al-Abadi,"International Religious,Executive,Executive Office,Ideological,(National) Major Party,Parties,Fundamentalist,Lower House,Legislative / Parliamentary,Government,Shia,Muslim",40913126,Iraq,Cabinet / Council of Ministers / Advisors (Iraq),"Cabinet,Executive,Government",2016
41,NULL,Iraq,2016-04-18,NULL,2016-04-18,ICEWS24426777,"Some MPs staged a sit-in inside the parliament headquarters and dismissed Speaker Al-Jabouri on 14 April, but the latter together with some political blocs rejected the move as 'unconstitutional'.",Demonstrate or rally,Iraq's Federal Court denies issuing verdict on Speaker dismissal,"(2016, 16, 3)",-6.5,33.3406,44.4009,4,NULL,BBC Monitoring Newsfile,4,Factiva,Iraq,Member of Parliament (Iraq),"Legislative / Parliamentary,Government",40913211,Iraq,Legislature (Iraq),"Legislative / Parliamentary,Government",2016
42,Baay,Syria,2016-04-18,NULL,2016-04-18,ICEWS24426771,"Apr 18, 2016 (Shabelle Media Network/All Africa Global Media via COMTEX) -- A Somali official said Somali national army (SNA) forces have launched an attack on base belonging to the Al Qaeda-linked Al shabaab militants in Baay region, south of Somalia.",Make statement,"SNA Attacks Al Shabaab Base in Baay Region, Says Official","(2016, 16, 3)",0,36.3593,36.8662,4,Muhafazat Halab,All Africa,1,Factiva,Somalia,Somalia,NULL,40913258,Somalia,Military (Somalia),"Government,Military",2016
57,NULL,Syria,2016-04-18,NULL,2016-04-18,ICEWS24427127,"Israeli Prime Minister Benjamin Netanyahu declared on Sunday that Israel would never relinquish the Golan Heights, which it captured from Syria in a 1967 war and annexed in 1981.",Make statement,"Syrian government negotiator takes swipe at Israel, avoids political talk","(2016, 16, 3)",0,32.9049,35.8073,4,Golan Heights,Reuters News,3,Factiva,Israel,Benjamin Netanyahu,"Parties,(National) Major Party,Executive,Government,Executive Office,Ideological,Center Right,International Ethnic,Foreign Ministry,Elite,Jews",40913523,Israel,Israel,NULL,2016
58,NULL,Syria,2016-04-18,NULL,2016-04-18,ICEWS24427204,The Syrian occupied Golan Heights has become a hot topic after Israeli cabinet held a meeting in the Golan for the first time ever.,Make a visit,"Israeli meeting in occupied Golan, Syria's response stir media debate","(2016, 16, 3)",1.9,32.9049,35.8073,4,Golan Heights,BBC Monitoring Media,2,Factiva,Israel,Cabinet / Council of Ministers / Advisors (Israel),"Executive,Government,Cabinet",40913601,Syria,Syria,NULL,2016
59,NULL,Syria,2016-04-18,NULL,2016-04-18,ICEWS24427205,The Syrian occupied Golan Heights has become a hot topic after Israeli cabinet held a meeting in the Golan for the first time ever.,Host a visit,"Israeli meeting in occupied Golan, Syria's response stir media debate","(2016, 16, 3)",2.8,32.9049,35.8073,4,Golan Heights,BBC Monitoring Media,2,Factiva,Syria,Syria,NULL,40913601,Israel,Cabinet / Council of Ministers / Advisors (Israel),"Executive,Government,Cabinet",2016
60,Beirut,Lebanon,2016-04-18,NULL,2016-04-18,ICEWS24427040,BEIRUT (AP) — Lebanon's central bank governor says Beirut will abide by a U.S. law that imposes sanctions on banks that knowingly do business with the militant Hezbollah group.,Make statement,Central bank: Lebanon will abide by US anti-Hezbollah law,"(2016, 16, 3)",0,33.8889,35.4944,4,Beyrouth,Associated Press Newswires,1,Factiva,Lebanon,Central Bank (Lebanon),"State-Owned Consulting / Financial Services,Government,State Owned Enterprises,Executive,Finance / Economy / Commerce / Trade Ministry",40913604,Lebanon,Lebanon,NULL,2016
61,Beirut,Lebanon,2016-04-18,NULL,2016-04-18,ICEWS24427041,"Riad Salameh told The Associated Press in an interview Monday that bank officials are now studying regulations issued last week, when the law came into effect.",Make statement,Central bank: Lebanon will abide by US anti-Hezbollah law,"(2016, 16, 3)",0,33.8889,35.4944,4,Beyrouth,Associated Press Newswires,2,Factiva,Lebanon,Riad Salameh,"International Religious,Government,Maronite,Executive,Finance / Economy / Commerce / Trade Ministry",40913604,Lebanon,Bank (Lebanon),"Business,Social",2016
62,Riyadh,Saudi Arabia,2016-04-18,NULL,2016-04-18,ICEWS24427084,President Barack Obama arrives in Saudi Arabia this week at a low point in relations between Washington and Riyadh that are likely only to be set on a different course by whoever is elected to the White House in November.,Praise or endorse,U.S.-Saudi Tensions in Focus as Barack Obama Visits Mideast This Week,"(2016, 16, 3)",3.4,24.6877,46.7219,4,Mintaqat ar Riyad,Dow Jones News Service,2,Factiva,Saudi Arabia,Saudi Arabia,NULL,40913646,United States,Barack Obama,"Parties,(National) Major Party,Executive,Center Left,Ideological,Executive Office,Government",2016
63,NULL,Syria,2016-04-18,NULL,2016-04-18,ICEWS24427203,"Syria's envoy to the United Nations on Monday denounced as 'provocative' an unprecedented Israeli cabinet meeting held in the Golan Heights, which the Jewish state annexed decades ago.",Criticize or denounce,Israeli Golan cabinet meeting 'provocative': Syria envoy,"(2016, 16, 3)",-2,32.9049,35.8073,4,Golan Heights,Agence France-Presse,1,Factiva,Syria,Envoy (Syria),"Executive,Foreign Ministry,Government",40913679,Israel,Israel,NULL,2016
64,NULL,Syria,2016-04-18,NULL,2016-04-18,ICEWS24427202,"Netanyahu, who chaired the meeting, said the Israeli-annexed Golan Heights would 'forever' remain in his country's hands.",Make statement,Israeli Golan cabinet meeting 'provocative': Syria envoy,"(2016, 16, 3)",0,32.9049,35.8073,4,Golan Heights,Agence France-Presse,6,Factiva,Israel,Benjamin Netanyahu,"Parties,(National) Major Party,Executive,Government,Executive Office,Ideological,Center Right,International Ethnic,Foreign Ministry,Elite,Jews",40913679,Syria,Syria,NULL,2016
65,NULL,Iraq,2016-04-18,NULL,2016-04-18,ICEWS24427207,"After the Islamic State launched an active offensive, Russia has supplied Iraq with several Su-25 attack aircraft.",Provide military aid,Iraq receives another batch of Russian-built Su-25 attack aircraft,"(2016, 16, 3)",8.3,33.3406,44.4009,4,NULL,Unknown,5,Factiva,Russian Federation,Russia,NULL,40913699,Iraq,Iraq,NULL,2016
66,Badush,Iraq,2016-04-18,NULL,2016-04-18,ICEWS24427108,A news agency that supports Islamic State said the militants had thwarted the raid.,Make statement,US-led troops seize Islamic State fighter in Iraq helicopter raid - sources,"(2016, 16, 3)",0,36.4263,42.9636,4,Muhafazat Ninawa,Channel NewsAsia,5,Factiva,Iraq,Media (Iraq),"Media,Social",40913801,Iraq,Militant (Iraq),Unidentified Forces,2016
67,Cairo,Egypt,2016-04-18,NULL,2016-04-18,ICEWS24427125,"Cairo, Apr 18, 2016 (Aswat Masriya/All Africa Global Media via COMTEX) -- Egyptian prosecution ordered the detention of 25 people for four days pending investigation for protesting on Friday against the maritime border demarcation agreement recently signed between Egypt and Saudi Arabia.",Sign formal agreement,Prosecution Orders 4-Day Detention of 25 Arrested During Friday Protests,"(2016, 16, 3)",8,30.0626,31.2497,4,Muhafazat al Qahirah,All Africa,1,Factiva,Egypt,Egypt,NULL,40913920,Saudi Arabia,Saudi Arabia,NULL,2016
68,Cairo,Egypt,2016-04-18,NULL,2016-04-18,ICEWS24427126,"Cairo, Apr 18, 2016 (Aswat Masriya/All Africa Global Media via COMTEX) -- Egyptian prosecution ordered the detention of 25 people for four days pending investigation for protesting on Friday against the maritime border demarcation agreement recently signed between Egypt and Saudi Arabia.",Sign formal agreement,Prosecution Orders 4-Day Detention of 25 Arrested During Friday Protests,"(2016, 16, 3)",8,30.0626,31.2497,4,Muhafazat al Qahirah,All Africa,1,Factiva,Saudi Arabia,Saudi Arabia,NULL,40913920,Egypt,Egypt,NULL,2016
69,Amman,Jordan,2016-04-18,NULL,2016-04-18,ICEWS24427432,Jordanian government spokesman Mohammed Momani said that Amman decided to recall its ambassador for consultation over Iran’s “interference in the internal affairs” of Arab countries.,Make statement,Jordan recalls it ambassador from Tehran,"(2016, 16, 3)",0,31.9552,35.945,4,Muhafazat `Amman,Trend News Agency (Azerbaijan),5,Factiva,Jordan,Mohammed al-Momani,Government,40914142,Jordan,Jordan,NULL,2016
70,Aleppo,Syria,2016-04-18,NULL,2016-04-18,ICEWS24427342,"At the consultations, the Americans claim that Syrian government forces violate ceasefire near Aleppo, Lavrov said.",Accuse of aggression,Rumors about Russia-US deal on Assad fate aimed at disrupting talks - Lavrov,"(2016, 16, 3)",-2,36.2012,37.1612,4,Muhafazat Halab,Unknown,4,Factiva,United States,United States,NULL,40914147,Syria,Military (Syria),"Military,Government",2016
71,NULL,Syria,2016-04-18,NULL,2016-04-18,ICEWS24427304,"Earlier on Monday, de Mistura met with the Syrian government delegation led by Syria’s UN Ambassador Bashar Jaafari.",Consult,De Mistura meeting with delegation of Syria’s High Negotiations Committee,"(2016, 16, 3)",1,33.5102,36.2913,4,NULL,Unknown,2,Factiva,NULL,Staffan de Mistura,"International Government Organization,Global,Global Diplomatic IGOs",40914154,Syria,Government Delegation (Syria),Government,2016
