,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
11,NULL,Syria,2017-12-26,NULL,2017-12-26,ICEWS28393466,"Iranian entrenchment on the Golan Heights, an area of key strategic importance, has concerned Israel since the start of the Syrian conflict.",Make pessimistic comment,"Will Israel's northern border become Hezbollah-land? Assad regime, backed by Iranian militias, is in third phase of its offensive to recapture rebel-held Beit Jinn","(2017, 52, 3)",-0.4,32.9049,35.8073,12,Golan Heights,The Jerusalem Post,5,Factiva,Israel,Israel,NULL,46212228,Iran,Iran,NULL,2017
25,NULL,Syria,2017-12-28,NULL,2017-12-28,ICEWS28399601,"a important French jihadist, member of a nebula where a gravity Mohamed Merah, was arrested in Syria, according to a source close to the folder.","Arrest, detain, or charge with legal action",EN BREF,"(2017, 52, 3)",-5,33.5102,36.2913,12,NULL,Le Figaro,2,Factiva,Syria,Syria,NULL,46229730,France,Mohamed Merah,Unidentified Forces,2017
34,NULL,Lebanon,2017-12-29,NULL,2017-12-29,ICEWS28395570,"Hamza's visit to south Lebanon comes shortly after Qais al-Khazali, the commander of Iraq's Iranian-backed Asaib Ahl al-Haq militia, was seen at the Good Fence on the Israel-Lebanon border in military garb, ready to support 'resistance fighters' and to come to the 'rescue of Palestinians and Jerusalem.'",Make a visit,"Second senior Shi'ite militia commander visits border between Israel, Lebanon. Al-Hajj Hamza is the operations commander of Hezbollah-allied, Iranian-trained Liwa al-Baqir","(2017, 52, 3)",1.9,33.8889,35.4944,12,NULL,The Jerusalem Post,5,Factiva,Syria,Al-Jaysh al-Sha'bi,"Military,Government",46218461,Lebanon,Lebanon,NULL,2017
35,NULL,Lebanon,2017-12-29,NULL,2017-12-29,ICEWS28395571,"Hamza's visit to south Lebanon comes shortly after Qais al-Khazali, the commander of Iraq's Iranian-backed Asaib Ahl al-Haq militia, was seen at the Good Fence on the Israel-Lebanon border in military garb, ready to support 'resistance fighters' and to come to the 'rescue of Palestinians and Jerusalem.'",Host a visit,"Second senior Shi'ite militia commander visits border between Israel, Lebanon. Al-Hajj Hamza is the operations commander of Hezbollah-allied, Iranian-trained Liwa al-Baqir","(2017, 52, 3)",2.8,33.8889,35.4944,12,NULL,The Jerusalem Post,5,Factiva,Lebanon,Lebanon,NULL,46218461,Syria,Al-Jaysh al-Sha'bi,"Military,Government",2017
36,NULL,Syria,2017-12-29,NULL,2017-12-29,ICEWS28395594,Prime Minister Benjamin Netanyahu had some tough words for Arab citizens who demonstrated against his visit to the Galilee town of Ein Mahil on Thursday: 'Shame on you.',Make a visit,"PM heckled by Arab-Israeli protesters, responds 'shame on you'","(2017, 52, 3)",1.9,33.5102,36.2913,12,NULL,The Jerusalem Post,1,Factiva,Israel,Benjamin Netanyahu,"Center Right,Executive,International Ethnic,Ideological,Jews,Foreign Ministry,Elite,Parties,Government,(National) Major Party,Executive Office",46218474,Syria,Syria,NULL,2017
37,NULL,Syria,2017-12-29,NULL,2017-12-29,ICEWS28395599,Prime Minister Benjamin Netanyahu had some tough words for Arab citizens who demonstrated against his visit to the Galilee town of Ein Mahil on Thursday: 'Shame on you.',Host a visit,"PM heckled by Arab-Israeli protesters, responds 'shame on you'","(2017, 52, 3)",2.8,33.5102,36.2913,12,NULL,The Jerusalem Post,1,Factiva,Syria,Syria,NULL,46218474,Israel,Benjamin Netanyahu,"Center Right,Executive,International Ethnic,Ideological,Jews,Foreign Ministry,Elite,Parties,Government,(National) Major Party,Executive Office",2017
38,NULL,Syria,2017-12-29,NULL,2017-12-29,ICEWS28395595,"'Against the only state [in the region] that protects human rights, that established a field hospital [on the Golan Heights] to help victims [of the war in Syria]?",Provide humanitarian aid,"PM heckled by Arab-Israeli protesters, responds 'shame on you'","(2017, 52, 3)",7.4,32.9049,35.8073,12,Golan Heights,The Jerusalem Post,6,Factiva,Syria,Healthcare Facility (Syria),"Social,Medical / Health",46218474,Syria,Citizen (Syria),"Social,General Population / Civilian / Social",2017
66,NULL,Syria,2017-12-31,NULL,2017-12-31,ICEWS28398218,"Syria assured American civil rights activist Jesse Jackson that its policy of permitting Jews to leave the country was still in force, but a Bush administration official said that no exit permits had been issued in more than two months.",Express intent to cooperate,From our Archives,"(2017, 52, 3)",4,33.5102,36.2913,12,NULL,The Jerusalem Post,4,Factiva,Syria,Syria,NULL,46226183,United States,Jesse Jackson,"(National) Major Party,Parties,Center Left,Ideological",2017
67,NULL,Iraq,2017-12-31,Qada' al Hawijah,2017-12-31,ICEWS28398329,"In the last week ISIS members have assassinated local officials and commanders in the government's paramilitary Shi'ite militia known as Hashd al-Shaabi, reports from Iraq indicate.",Assassinate,"US-led coalition continues to hit ISIS in Syria and Iraq. Strikes ongoing despite declarations of victory by Damascus, Baghdad","(2017, 52, 3)",-10,35.327,43.7542,12,Muhafazat Kirkuk,The Jerusalem Post,6,Factiva,Iraq,Islamic State of Iraq and the Levant,"Fundamentalist,International Religious,Sunni,Insurgents,Dissident,Muslim,Ideological",46226187,Iraq,Citizen (Iraq),"Social,General Population / Civilian / Social",2017
68,NULL,Iraq,2017-12-31,Qada' al Hawijah,2017-12-31,ICEWS28398330,"In the last week ISIS members have assassinated local officials and commanders in the government's paramilitary Shi'ite militia known as Hashd al-Shaabi, reports from Iraq indicate.",Assassinate,"US-led coalition continues to hit ISIS in Syria and Iraq. Strikes ongoing despite declarations of victory by Damascus, Baghdad","(2017, 52, 3)",-10,35.327,43.7542,12,Muhafazat Kirkuk,The Jerusalem Post,6,Factiva,Iraq,Islamic State of Iraq and the Levant,"Fundamentalist,International Religious,Sunni,Insurgents,Dissident,Muslim,Ideological",46226187,Iraq,Military Personnel (Iraq),"Government,Military",2017
